Prof,DT
1000,NaN
1250,172
1300,169
1350,164
1400,159
1450,157
1500,156
1550,154
1600,152
1650,149
1700,146
1750,144
1800,144
1850,147
1900,148
1950,149
2000,147
2050,144
2100,141
2150,141
2200,140
2250,139
2300,139
2350,138
2400,137
2450,136
2500,135
2550,133
2600,130
2650,128
2700,127
2750,127
2800,127
2850,128
2900,127
2950,125
3000,124
3050,122
3100,120
3150,118
3200,116
3250,118
3300,120
3350,120
3400,119
3450,120
3500,118
3550,119
3600,117
3650,117
3700,116
3750,118
3800,120
3850,120
3900,119
3950,119
4000,119
4050,117
4100,116
4150,116
4200,117
4250,115
4300,114
4350,115
4400,117
4450,118
4500,116
