Prof,DT
1000,NaN
1250,173
1300,170.2
1350,164.4
1400,157.4
1450,154
1500,158.4
1550,156.6
1600,150.8
1650,151.8
1700,143.6
1750,143
1800,143
1850,149.2
1900,147.4
1950,152.8
2000,149.4
2050,143.4
2100,138.4
2150,143.6
2200,139
2250,140.2
2300,138
2350,136.2
2400,132.8
2450,136
2500,109.6
2550,102.8
2600,106
2650,100.2
2700,98.6
2750,94.6
2800,94.6
2850,85.8
2900,84.6
2950,91.6
3000,94.2
3050,95.4
3100,94.6
3150,95.8
3200,90
3250,88.2
3300,89.6
3350,91
3400,90.4
3450,90.6
3500,98
3550,129.92604
3600,120.8792
3650,117.36698
3700,105.61938
3750,107.81238
3800,99.15288
3850,105.43288
3900,107.20462
3950,114.03004
4000,112.43068
4050,124.53538
4100,126.65992
4150,120.01192
4200,113.36064
4250,121.06164
4300,121.47128
4350,125.62838
4400,133.50278
4450,143.6308
4500,143.6867333
