Prof,DT
1000,NaN
1250,153.5
1300,153.4
1350,152
1400,150.8
1450,151.8
1500,144.6
1550,142.2
1600,146.4
1650,147.4
1700,143.6
1750,143.8
1800,142.2
1850,133
1900,124.4
1950,115.4
2000,118.8
2050,121
2100,122.2
2150,129.6
2200,128.8
2250,122.2
2300,116.6
2350,111.2
2400,109.6
2450,112
2500,113
2550,107.2
2600,113.4
2650,105
2700,108.4
2750,101
2800,103.2
2850,94
2900,90.2
2950,88
3000,93.6
3050,95
3100,95.6
3150,104.2
3200,105.8
3250,101.2
3300,96
3350,103
3400,95.6
3450,91.6
3500,96.8
3550,97.4
3600,97.4
3650,96.6
3700,95.6
3750,88.6
3800,92.6
3850,93.6
3900,97.6
3950,96.4
4000,98.04
4050,98.23
4100,96.52
4150,96.33
4200,96.14
4250,92.53
4300,95.38
4350,94.62
4400,98.42
4450,96.6
4500,97.5
