Prof,DT
1000,NaN
1250,159
1300,158
1350,158
1400,157
1450,156
1500,155
1550,154
1600,152
1650,150
1700,148
1750,145
1800,141
1850,138
1900,135
1950,132
2000,129
2050,126
2100,122
2150,119
2200,116
2250,114
2300,112
2350,112
2400,111
2450,110
2500,112
2550,110
2600,107
2650,105
2700,104
2750,104
2800,104
2850,105
2900,104
2950,102
3000,101
3050,99
3100,97
3150,95
3200,93
3250,91
3300,93
3350,94
3400,93
3450,92
3500,93
3550,92
3600,91
3650,92
3700,91
3750,90
3800,91
3850,90
3900,89
3950,90
4000,89
4050,88
4100,89
4150,90
4200,89
4250,88
4300,89
4350,88
4400,87
4450,88
4500,87
