Prof	DT
1000	NaN
1250	172.983333325
1300	169.86666666
1350	163.8
1400	160.88
1450	158.16
1500	155.44
1550	154.32
1600	152.24
1650	149.16
1700	146.44
1750	146.12
1800	145.24
1850	147.08
1900	148.36
1950	148.44
2000	146.28
2050	145.52
2100	142.76
2150	140.92
2200	139.84
2250	139.4
2300	137.24
2350	136.64
2400	135.92
2450	135.0436
2500	133.8728
2550	131.8196
2600	127.3664
2650	121.7708
2700	117.1696
2750	113.27
2800	112.0828
2850	113.4356
2900	114.4288
2950	115.1056
3000	116.7824
3050	116.042
3100	113.4212
3150	113.7744
3200	113.6828
3250	111.8808
3300	113.0704
3350	117.2768
3400	118.8244
3450	121.9636
3500	124.0072
3550	123.8932
3600	119.7068
3650	117.0768
3700	111.4856
3750	108.9092
3800	107.0744
3850	108.5384
3900	109.1864
3950	113.7752
4000	117.5832
4050	119.6428
4100	119.3396
4150	120.7048
4200	120.0556
4250	119.6548
4300	122.326
4350	128.2514
4400	132.98646666
4450	135.989083325
4500	139.787444433333
