Prof,DT
0,191.95621269118
50,189.488963466849
100,186.14137056086
150,174.771804443457
200,168.380132418092
250,164.489055698298
300,159.210566300689
350,156.295405591389
400,154.996399930178
450,152.618505838139
500,151.096435605325
550,147.383252977569
600,144.244008278765
650,143.051937220181
700,142.986067834849
750,143.029648670055
800,141.969079725498
850,139.393163715002
900,138.492568409433
950,136.259432133553
1000,132.087068796258
1050,132.369743648776
1100,132.102500277386
1150,129.481025350142
1200,127.901541613744
1250,129.760722323284
1300,128.255622137715
1350,128.783620810301
1400,126.742376925962
1450,126.729789603776
1500,124.743966570321
1550,122.983197370557
1600,120.645930753296
1650,122.530755472841
1700,122.07349305246
1750,121.223345085527
1800,122.64
1850,121.24
1900,121.16
1950,121.32
2000,123.08
2050,125.32
2100,125
2150,123.8
2200,122.64
2250,121.92
2300,120.84
2350,120.96
2400,122.92
2450,130.985208
2500,136.961048
2550,142.354444
2600,145.35832
2650,147.320796
2700,141.166164
2750,138.0769
2800,136.044428
2850,137.72656
2900,138.65022
2950,143.72672
3000,147.972128
3050,150.533588
3100,150.399708
3150,152.1259
3200,151.51308
3250,151.306772
3300,154.004944
3350,160.058976
3400,164.58399466
3450,167.612173325
3500,171.273437766667
