Prof,DT
0,167.977123557426
50,160.29686941352
100,158.628752471343
150,156.960635529166
200,155.29251858699
250,153.624401644813
300,151.956284702637
350,148.808587368134
400,146.581683440522
450,145.348632070364
500,143.044601121742
550,140.78931155044
600,140.047583974147
650,135.792326092337
700,132.668868718041
750,128.66009283361
800,126.585376836633
850,126.266522239331
900,122.860552481121
950,122.859319053858
1000,123.589205833875
1050,122.87757014589
1100,122.719234772708
1150,121.276350972737
1200,120.711623115659
1250,118.354888178193
1300,115.703045160207
1350,115.586664092876
1400,112.836605223099
1450,112.950646285869
1500,113.593449594469
1550,113.596534371667
1600,113.124920015357
1650,111.343772863787
1700,111.2517225158
1750,111.014180549508
1800,108.21451910053
1850,107.049503978138
1900,106.368862971063
1950,106.48252147027
2000,105.933919990202
2050,104.506666666667
2100,105.166666666667
2150,105.866666666667
2200,106.506666666667
2250,107.22
2300,108.153333333333
2350,109.4
2400,110.793333333333
2450,112.16
2500,113.233333333333
2550,113.686666666667
2600,113.633333333333
2650,113.246666666667
2700,112.8
2750,112.393333333333
2800,112.42
2850,112.933333333333
2900,113.686666666667
2950,114.48
3000,115.3
3050,116.053333333333
3100,116.333333333333
3150,116.353333333333
3200,116.305
3250,116.04111111
3300,115.7012499975
3350,115.474768514167
3400,115.425722217
3450,115.32215277125
3500,115.272870361667
