Prof,DT
1000,NaN
1250,158.5
1300,157
1350,160.4
1400,157.6
1450,152.4
1500,150.6
1550,155.4
1600,151.2
1650,151.4
1700,151.6
1750,144.8
1800,133.4
1850,135.4
1900,137.6
1950,129.8
2000,131.4
2050,130.2
2100,125.4
2150,115
2200,120
2250,119
2300,113.6
2350,113.8
2400,124.4
2450,118.6
2500,110
2550,113
2600,100.6
2650,94.8
2700,95.2
2750,100.6
2800,102.4
2850,113.6
2900,114.6
2950,112.2
3000,111.6
3050,102.4
3100,90
3150,81
3200,89
3250,81
3300,85.6
3350,94.4
3400,98.4
3450,99.2
3500,100.2
3550,101.6
3600,104.6
3650,108.6
3700,100.4
3750,105
3800,109.2
3850,102.2
3900,93
3950,102.2
4000,102.2
4050,99
4100,98.6
4150,106.8
4200,96.8
4250,91
4300,85.4
4350,92.4
4400,85.4
4450,87.75
4500,91.33333333
