Prof	DT
1000	NaN
1250	153
1300	152
1350	150
1400	146
1450	143
1500	140
1550	139
1600	138
1650	139
1700	140
1750	139
1800	137
1850	134
1900	129
1950	123
2000	119
2050	115
2100	112
2150	112
2200	112
2250	112
2300	113
2350	114
2400	112
2450	112
2500	109
2550	108
2600	105
2650	103
2700	100
2750	98
2800	94
2850	91
2900	90
2950	90
3000	90
3050	92
3100	94
3150	94
3200	92
3250	91
3300	90
3350	89
3400	89
3450	91
3500	92
3550	95
3600	98
3650	101
3700	104
3750	105
3800	104
3850	102
3900	101
3950	97
4000	95
4050	93
4100	91
4150	89
4200	90
4250	91
4300	93
4350	95
4400	95
4450	96
4500	96

