Prof,DT
0,193.398609250796
50,186.398866693494
100,182.331815581926
150,173.768478324187
200,166.699849915375
250,160.888040909605
300,159.936512657636
350,156.642726091758
400,155.687092929641
450,153.792384080713
500,153.305548977777
550,149.588448820936
600,150.012684694951
650,146.556508851298
700,144.202880184632
750,141.938187035598
800,140.351378507628
850,138.033356067736
900,139.176536664695
950,140.574532169244
1000,142.021909691705
1050,141.514009370746
1100,141.44680379356
1150,138.216788093665
1200,135.020893003813
1250,131.25641532451
1300,130.320961772042
1350,130.012403223244
1400,129.728837124049
1450,129.668556370248
1500,132.230023364973
1550,133.411848250775
1600,130.612770533826
1650,132.431643483986
1700,133.541344221626
1750,131.590159254912
1800,134.0828
1850,135.4356
1900,136.4288
1950,137.1056
2000,138.7824
2050,138.042
2100,135.4212
2150,135.7744
2200,135.6828
2250,133.8808
2300,135.0704
2350,139.2768
2400,140.8244
2450,143.9636
2500,146.0072
2550,145.8932
2600,141.7068
2650,139.0768
2700,133.4856
2750,130.9092
2800,129.0744
2850,130.5384
2900,131.1864
2950,135.7752
3000,139.5832
3050,141.6428
3100,141.3396
3150,142.7048
3200,142.0556
3250,141.6548
3300,144.326
3350,150.2514
3400,154.98646666
3450,157.989083325
3500,161.787444433333
