Prof	DT
0	205.66
50	192.48
100	178.84
150	174.30
200	164.44
250	161.66
300	155.62
350	155.12
400	148.03
450	148.26
500	143.76
550	143.48
600	139.38
650	140.44
700	134.63
750	135.93
800	135.96
850	132.12
900	129.96
950	127.16
1000	123.96
1050	121.12
1100	119.88
1150	118.56
1200	116.20
1250	116.28
1300	117.40
1350	117.00
1400	116.20
1450	117.88
1500	116.80
1550	113.20
1600	110.20
1650	106.60
1700	102.00
1750	99.32
1800	97.64
1850	95.48
1900	95.00
1950	94.40
2000	94.44
2050	95.60
2100	97.64
2150	97.96
2200	99.00
2250	98.36
2300	98.64
2350	99.44
2400	101.92
2450	103.56
2500	106.48
2550	106.72
2600	106.84
2650	105.88
2700	104.64
2750	103.24
2800	104.16
2850	104.04
2900	104.40
2950	106.04
3000	107.72
3050	107.76
3100	108.92
3150	108.96
3200	108.92
3250	107.72
3300	107.84
3350	107.47
3400	107.34
3450	106.92
3500	107.56
