Prof,DT
0,207.25979997
50,199.243340059
100,196.6047283108
150,191.3275048144
200,186.1005936512
250,180.9239948212
300,175.7977083244
350,170.7217341608
400,166.08458063195
450,161.87618527121
500,158.08648561194
550,154.7054191875
600,151.72292353125
650,148.740427875
700,145.75793221875
750,142.7754365625
800,139.79294090625
850,136.81044525
900,133.82794959375
950,130.8454539375
1000,127.86295828125
1050,124.880462625
1100,121.89796696875
1150,118.9154713125
1200,116.5294747875
1250,114.58458539375
1300,113.11013113125
1350,112.044912
1400,111.288128
1450,110.21792
1500,108.874416
1550,107.223376
1600,105.2172
1650,102.947088
1700,100.4624
1750,98.037688888
1800,95.610133332
1850,93.410133332
1900,91.536533332
1950,90.025777776
2000,88.514844444
2050,87.040355556
2100,85.436266668
2150,83.720000004
2200,82.755555564
2250,81.7688889
2300,81.102222236
2350,80.94666668
2400,81.026666676
2450,80.680000004
2500,80.728888888
2550,80.808888884
2600,79.493333328
2650,78.079999996
2700,76.133333328
2750,74.453333328
2800,73.088555548
2850,73.488222212
2900,74.581888876
2950,76.4443111
3000,78.023177768
3050,79.269377772
3100,80.275577776
3150,80.684888892
3200,80.378911116
3250,79.920044452
3300,79.10973334
3350,77.663866672
3400,75.9357037053333
3450,75.1407407416667
3500,74.0913580222222
