Prof,DT
1000,NaN
1250,151
1300,152
1350,152
1400,151
1450,149
1500,148
1550,145
1600,144
1650,141
1700,140
1750,138
1800,135
1850,132
1900,129
1950,127
2000,123
2050,121
2100,119
2150,118
2200,116
2250,116
2300,117
2350,117
2400,116
2450,117
2500,116
2550,113
2600,110
2650,106
2700,102
2750,99
2800,97
2850,98
2900,97
2950,95
3000,96
3050,94
3100,95
3150,92
3200,92
3250,91
3300,93
3350,94
3400,95
3450,94
3500,94
3550,92
3600,90
3650,90
3700,90
3750,90
3800,88
3850,87
3900,88
3950,89
4000,90
4050,88
4100,87
4150,87
4200,86
4250,85
4300,84
4350,82
4400,82
4450,82
4500,83
