Prof,DT
0,189.621637275003
50,172.916969384414
100,170.376077984508
150,163.001378177782
200,158.666280712794
250,153.86291150803
300,150.691580906068
350,146.097063653195
400,144.328663145325
450,142.089060803587
500,138.91140609576
550,137.347639232734
600,136.761973931753
650,135.52700523486
700,131.62125915936
750,131.427583265224
800,130.332052002622
850,126.723200050731
900,122.791471790506
950,121.728817358136
1000,120.928390614443
1050,120.384319535308
1100,122.291529063028
1150,123.645602615426
1200,122.642672521334
1250,122.079332402001
1300,119.752566412385
1350,117.459691583683
1400,114.198310453275
1450,114.166271850474
1500,112.96163820563
1550,113.382658119745
1600,113.82774320861
1650,114.095448444883
1700,112.184455381583
1750,110.093557763826
1800,107.221649131499
1850,104.967712090743
1900,103.130808991358
1950,105.110073794433
2000,104.904704952151
2050,103.913959152108
2100,102.937145803017
2150,100.039121060854
2200,95.7551081304397
2250,93.1943300039285
2300,92.7141373692691
2350,92.384
2400,95.304
2450,97.936
2500,100.208
2550,101.904
2600,103.264
2650,104.12
2700,103.944
2750,103.792
2800,103.336
2850,102.168
2900,100.952
2950,100.912
3000,100.584
3050,99.92
3100,99.12
3150,98.216
3200,95.904
3250,93.446
3300,91.4493333332
3350,90.1494999997
3400,88.8857222217
3450,88.557152777125
3500,88.6128703695
