Prof,DT
0,186.496547809657
50,180.70612987163
100,175.691521163414
150,165.134872293458
200,158.332723558205
250,154.920271147347
300,150.776074688248
350,147.633799368045
400,143.73618899337
450,141.981688858667
500,138.700538531806
550,138.042586255651
600,137.570488026102
650,138.055645989918
700,136.275651435268
750,133.812605303031
800,131.251975885807
850,129.781798795152
900,127.792102470757
950,126.274486650733
1000,126.02180719409
1050,123.427936476611
1100,119.887578531211
1150,119.796124528745
1200,117.949538444321
1250,115.74426562481
1300,115.577158950115
1350,114.845418665966
1400,111.546542951914
1450,111.878287000155
1500,111.438628901635
1550,111.82574102168
1600,112.837965836179
1650,111.873795417994
1700,110.931853930193
1750,109.210882611488
1800,109.309726839277
1850,108.159417035779
1900,109.482175861031
1950,108.16
2000,108.32
2050,110.08
2100,112.32
2150,112
2200,110.8
2250,109.64
2300,108.92
2350,107.84
2400,107.96
2450,110.76192
2500,113.88744
2550,117.53776
2600,119.65824
2650,122.66424
2700,124.19336
2750,123.7718
2800,120.68888
2850,121.11236
2900,120.61032
2950,118.61748
3000,117.891
3050,120.20592
3100,118.69028
3150,116.02972
3200,112.90948
3250,111.25176
3300,107.0274
3350,105.24093
3400,105.30673
3450,106.0609625
3500,105.015016666667
