Prof	DT
1000	NaN
1250	151
1300	152
1350	152
1400	151
1450	149
1500	148
1550	145
1600	144
1650	141
1700	140
1750	138
1800	135
1850	132
1900	129
1950	127
2000	129
2050	125
2100	122
2150	119
2200	115
2250	112
2300	113
2350	112
2400	111
2450	111
2500	109
2550	108
2600	105
2650	103
2700	100
2750	98
2800	94
2850	91
2900	90
2950	90
3000	90
3050	92
3100	94
3150	94
3200	92
3250	91
3300	90
3350	89
3400	89
3450	92
3500	95
3550	99
3600	101
3650	104
3700	106
3750	105
3800	102
3850	103
3900	102
3950	100
4000	99
4050	102
4100	100
4150	98
4200	94
4250	93
4300	89
4350	87
4400	87
4450	88
4500	87
