Prof,DT
1000,NaN
1250,172
1300,169
1350,163
1400,160
1450,158
1500,155
1550,154
1600,152
1650,149
1700,146
1750,146
1800,145
1850,147
1900,148
1950,148
2000,146
2050,145
2100,142
2150,140
2200,139
2250,139
2300,137
2350,136
2400,130
2450,123
2500,117
2550,110
2600,103
2650,100
2700,98
2750,94
2800,91
2850,90
2900,90
2950,90
3000,92
3050,94
3100,94
3150,92
3200,91
3250,90
3300,89
3350,91
3400,92
3450,91
3500,90
3550,91
3600,90
3650,89
3700,90
3750,89
3800,88
3850,89
3900,93
3950,91
4000,85
4050,90
4100,90
4150,91
4200,89
4250,89
4300,89
4350,88
4400,87
4450,88
4500,87
