Prof,DT
1000,NaN
1250,152
1300,152
1350,152
1400,150
1450,148
1500,147
1550,146
1600,144
1650,144
1700,144
1750,142
1800,137
1850,131
1900,126
1950,122
2000,120
2050,121
2100,124
2150,124
2200,123
2250,121
2300,117
2350,114
2400,112
2450,110
2500,111
2550,110
2600,109
2650,107
2700,106
2750,102
2800,99
2850,95
2900,93
2950,92
3000,92
3050,94
3100,95
3150,93
3200,91
3250,92
3300,90
3350,89
3400,91
3450,90
3500,88
3550,89
3600,87
3650,86
3700,88
3750,90
3800,89
3850,87
3900,85
3950,86
4000,88
4050,87
4100,85
4150,84
4200,86
4250,88
4300,89
4350,87
4400,86
4450,85
4500,87
