E;N;porcentagens_co2_poco;poco;poco_numero_projeto;Depth_113Ma_Base_Sal_Profundidade_Area_PUC_RJ;Depth_134Ma_Topo_Embasamento_Indistinto_Profundidade_Area_PUC_RJ;Depth_CT_Espessura_Crustal_Area_PUC_RJ;falha_dist;1_M_falha_dist;2_M_falha_dist;3_M_falha_dist;4_M_falha_dist;5_M_falha_dist;6_M_falha_dist;7_M_falha_dist;8_M_falha_dist;9_M_falha_dist;10_M_falha_dist;ext_fal_M_one_1;ext_fal_M_two_1;ext_fal_M_one_2;ext_fal_M_two_2;ext_fal_M_one_3;ext_fal_M_two_3;ext_fal_M_one_4;ext_fal_M_two_4;ext_fal_M_one_5;ext_fal_M_two_5;ext_fal_M_one_6;ext_fal_M_two_6;ext_fal_M_one_7;ext_fal_M_two_7;ext_fal_M_one_8;ext_fal_M_two_8;ext_fal_M_one_9;ext_fal_M_two_9;ext_fal_M_one_10;ext_fal_M_two_10;dist_Ignea;Crustal_Domain_Limits;magnometria;gravitometria;fluxo_termico;gradiente_termico;dist_helmet;1M_cruza_Helmet;7M_cruza_Helmet;8M_cruza_Helmet;falha_transf3;falha_transf4;falha_tran5;falha_tran6;falha_tran7;falha_tran9;dist_red_line_0;dist_red_line_1;min_M_falha_dist;min_ext_fal_M_dist
771553.619;7162795.646;0.9;1-STAT-10-SPS;10;6222.07227;8062.37891;18602.822;1854.944424;183291.6333;58490.55939;138395.6671;29260.7103;116767.0436;15925.23157;196799.9965;170705.8521;152244.7342;215469.252;227661.7523;183348.3103;115877.3623;64562.65195;188715.7048;138395.6671;40001.24746;34579.39328;127986.6481;124452.1668;27411.58081;53044.52472;220321.7536;197037.0304;175425.7807;175472.364;157464.2683;152244.7342;220508.162;215469.252;54260.71605;12406.0758;0.00297;0.00034;52.5;28.5;140658.3462;189378.6145;200364.9847;177165.427;42848.31015;152112.3011;612.1953903;43964.10191;97258.81411;219581.9418;122527.137;92092.14178;15925.23157;27411.58081
950314.9767;7275955.848;30;2-ANP-1-RJS;11;5265.59277;6664.0957;18486.799;483.6013755;72011.0753;101199.2111;48836.45911;169305.0954;111239.0088;184256.5319;109356.7557;120513.5444;130126.9408;143130.2759;72011.0753;140889.8165;101199.2111;198579.9845;59821.02113;143929.1017;193240.9061;178342.7712;111239.0088;181669.4309;184256.5319;247125.1853;109356.7557;170769.1729;120513.5444;170447.3189;130126.9408;173457.8495;143130.2759;166260.9927;16666.73302;28303.50292;-0.00013;-0.0017;65;40;107387.8957;160278.4156;142642.3202;169026.6359;227758.6736;82289.52825;181444.3328;138666.7754;123488.4309;30297.60698;84591.80514;66455.88757;48836.45911;59821.02113
975701.6847;7281489.8;44;2-ANP-2A-RJS;12;5213.50537;6515.37012;19003.742;1881.477298;66058.12519;127061.8882;60114.05423;194674.803;129461.9814;208761.6259;107986.5723;129263.2099;141935.5842;143627.0862;66058.12519;148182.9325;127061.8882;219691.7797;69290.69028;158340.2717;216107.9618;203307.659;129461.9814;197402.868;208761.6259;269957.8674;107986.5723;176717.6091;129263.2099;179598.057;141935.5842;185824.7024;143627.0862;169008.315;0;22422.40962;-0.00132;0.00034;62.5;40;92725.87865;167032.5505;146933.759;177895.1994;249065.7243;96393.39088;201037.6958;157324.3834;149464.4185;12958.018;74555.42883;53754.60859;60114.05423;66058.12519
927990.0826;7236395.457;2.8;3-BRSA-1032-RJS;13;5418.36816;6753.37012;17657.951;2720.262475;64510.61543;74037.21862;23741.02508;134569.9803;65851.64704;145506.1362;88600.93259;83066.74964;88690.12409;116150.2661;67207.72552;104300.3812;74037.21862;154134.2073;31820.82068;100004.6252;150738.4615;141383.9899;65851.64704;136784.193;145506.1362;204511.4715;88600.93259;134801.9237;83066.74964;130761.92;88690.12409;130701.699;116150.2661;134731.8227;0;29572.04871;-0.00188;-0.00027;60;35;96144.31073;123634.9044;110034.3852;129676.0432;183474.3554;38565.86865;136213.1774;93244.84274;97995.39696;75705.03359;72181.76045;46334.93849;23741.02508;31820.82068
951885.8657;7258686.681;27;3-BRSA-1053-RJS;14;5280.21924;6645.46582;18312.447;555.7811896;57779.39749;98670.14919;31619.52692;164041.8841;97126.36603;176830.7485;92907.98174;103317.8103;113460.825;126165.4425;57779.39749;123602.1512;98670.14919;186747.3257;42515.01339;128065.2976;183271.5676;171931.9301;97126.36603;166401.1931;176830.7485;237091.0507;92907.98174;153439.5885;103317.8103;153370.4889;113460.825;157017.7264;126165.4425;149008.601;8996.11999;18035.02844;-0.00132;-0.0017;62.5;40;94168.17083;142974.7202;125323.8974;151911.8137;216110.1822;66821.99665;168367.6142;124892.9918;122120.0908;44536.8015;71606.46645;51935.04063;31619.52692;42515.01339
951201.0674;7243081.843;30;3-BRSA-1172-RJS;15;5313.19629;5773.99268;18163.822;2637.59431;47925.95614;96871.89176;16002.698;158717.7031;84072.65986;169425.5442;79424.00216;87698.19589;98088.48371;111663.1389;48539.05475;108005.7414;96871.89176;175292.197;26939.19822;113277.6254;173509.0223;165491.1411;84072.65986;152028.1755;169425.5442;227069.3063;79424.00216;137901.7777;87698.19589;137772.0094;98088.48371;141764.8811;111663.1389;133892.4865;5986.82017;18546.46645;-0.00259;0.00074;60;40;83965.59992;127392.5761;110019.2498;136303.1507;204724.6952;51861.43112;155871.5638;111908.9142;120835.0577;58445.20545;63206.97951;40109.10912;16002.698;26939.19822
854920.7967;7136382.779;5.6;3-BRSA-1179-SPS;16;5053.59717;6117.21875;18787.949;833.1126455;97883.99493;25091.64072;52911.11225;48142.4867;33302.53354;68032.97855;109469.8526;84131.21839;64815.40316;128393.9718;159783.2107;97883.99493;107502.2154;34466.40534;126098.9079;52911.11225;48142.4867;79083.0038;60004.12993;40408.42465;70914.59828;91554.22312;141898.0625;109596.3103;93872.2666;88066.6907;74240.9618;65317.34847;135834.1677;128393.9718;0;28026.76423;-0.00689;-0.00023;47.5;26;68741.31147;102179.4434;115026.6169;89726.66154;62291.42043;88508.66565;12426.90741;24586.96346;110283.3158;198705.5264;54119.30958;29993.19112;25091.64072;34466.40534
975984.5426;7195958.588;77;3-BRSA-1183-RJS;17;5223.14502;5795.08008;18832.238;6311.811614;6347.713127;130751.7021;29170.08658;173616.9098;79475.56328;181324.1522;26372.40149;49876.09469;67843.87599;59174.99234;27241.0056;65137.8603;130751.7021;169309.6158;30941.88512;89203.80341;175689.8707;181049.4169;79475.56328;128569.0807;181324.1522;225748.5053;26372.40149;91882.78704;49876.09469;97828.8068;67843.87599;109347.2058;59174.99234;83547.22934;29050.39181;30094.13228;0.00214;-0.0009;52.5;30;33525.50624;82913.68037;61587.19768;95802.1467;196762.646;20736.04689;144549.6814;88445.98285;153674.2702;87484.96247;11137.94763;4785.82207;6347.713127;26372.40149
945188.7473;7208176.601;40;3-BRSA-1201-RJS;18;5610.89893;6056.5459;18970.043;2770.761802;33685.67524;97620.86648;2770.761802;146731.4949;55742.57321;152896.6449;56943.23383;52709.29608;62786.71325;83115.93396;48260.29903;73483.56646;97620.86648;148664.9659;10879.90556;79120.74524;151090.6544;151418.5283;55742.57321;118589.6641;152896.6449;203242.5172;57204.02965;103783.139;52709.29608;102474.5223;62786.71325;106591.0153;83115.93396;102126.4022;16879.77778;7277.235406;0.00214;-0.00027;55;30;64013.82096;92949.52238;77560.87195;101063.6761;177534.9439;17003.7442;126926.6153;80349.84342;120600.6561;91453.4339;39543.77282;13352.89327;2770.761802;10879.90556
928656.7845;7263537.544;0.1;3-BRSA-1215-RJS;19;5458.52832;6600.55273;18235.908;2129.029638;78273.4511;76879.03795;42239.99037;144415.796;91182.93637;159335.364;108871.6831;109562.0354;115832.2637;139464.3055;78662.75763;130698.2337;76879.03795;175371.1622;53051.64937;126813.9594;168963.5239;153377.4197;91182.93637;162842.7182;159335.364;222804.3365;108871.6831;161162.5346;109562.0354;157804.4472;115832.2637;157760.6337;139464.3055;159815.2421;0;40795.91726;0.00149;-0.00078;65;40;114407.0213;150120.246;135317.7624;156676.226;204347.8762;65659.11258;159413.8564;117242.8147;99739.49101;51730.02985;93122.88213;69753.99583;42239.99037;53051.64937
953701.2806;7171415.275;77;3-BRSA-1246-RJS;20;5300.68994;5663.74121;18332.025;357.4257139;9358.252482;120765.3247;25815.668;148143.3617;55325.01623;157944.3963;32704.68275;17342.92557;34752.08941;49447.14369;60336.98619;36338.66494;122986.9228;139256.7044;44776.26548;56518.11805;148298.3441;159472.9407;55325.01623;95535.35075;157944.3963;196307.4656;37993.64125;66256.37975;17342.92557;67387.9353;34752.08941;76559.67742;49447.14369;64907.9785;0;26289.93957;-0.00689;-0.00011;50;27;32007.32621;55684.53421;40172.02845;65649.09617;165750.777;7158.20597;113322.2375;55444.56439;143661.0147;119006.504;5031.784275;14819.40093;9358.252482;17342.92557
983467.6304;7284298.022;34;3-BRSA-1322-RJS;21;5184.91748;6607.82715;18929.154;1037.27822;67301.28787;135311.592;66223.5994;202913.259;136415.0739;216883.8224;109922.6699;133915.2795;147314.7642;145827.5225;67301.28787;152329.9078;135311.592;227140.0149;74803.90298;164310.6103;223928.4988;211498.5623;136415.0739;203606.8399;216883.8224;277752.2729;109922.6699;180357.4148;133915.2795;184123.7277;147314.7642;191193.5375;145827.5225;171747.2298;0;22008.50367;-0.00188;-0.00054;62.5;40;88721.21098;170940.289;150239.5018;182349.2804;256539.2198;102097.6418;208161.4109;164236.0993;157673.9679;6772.325606;74121.59401;50789.09207;66223.5994;67301.28787
