E;N;porcentagens_co2_poco;poco;poco_numero_projeto;Depth_113Ma_Base_Sal_Profundidade_Area_PUC_RJ;Depth_134Ma_Topo_Embasamento_Indistinto_Profundidade_Area_PUC_RJ;Depth_CT_Espessura_Crustal_Area_PUC_RJ;falha_dist;1_M_falha_dist;2_M_falha_dist;3_M_falha_dist;4_M_falha_dist;5_M_falha_dist;6_M_falha_dist;7_M_falha_dist;8_M_falha_dist;9_M_falha_dist;10_M_falha_dist;ext_fal_M_one_1;ext_fal_M_two_1;ext_fal_M_one_2;ext_fal_M_two_2;ext_fal_M_one_3;ext_fal_M_two_3;ext_fal_M_one_4;ext_fal_M_two_4;ext_fal_M_one_5;ext_fal_M_two_5;ext_fal_M_one_6;ext_fal_M_two_6;ext_fal_M_one_7;ext_fal_M_two_7;ext_fal_M_one_8;ext_fal_M_two_8;ext_fal_M_one_9;ext_fal_M_two_9;ext_fal_M_one_10;ext_fal_M_two_10;dist_Ignea;Crustal_Domain_Limits;magnometria;gravitometria;fluxo_termico;gradiente_termico;dist_helmet;1M_cruza_Helmet;7M_cruza_Helmet;8M_cruza_Helmet;falha_transf3;falha_transf4;falha_tran5;falha_tran6;falha_tran7;falha_tran9;dist_red_line_0;dist_red_line_1;min_M_falha_dist;min_ext_fal_M_dist
935937.8323;7224100.441;3.4;4-BRSA-1226-RJS;32;5455.96484;6703.74951;18093.982;542.1552112;51429.73336;83969.02078;9122.989311;139864.6068;59715.86844;148295.3172;74406.40358;69466.48282;76776.12869;101510.1949;56951.90759;90594.92881;83969.02078;151227.582;18415.86392;90154.82056;150386.8956;145357.5511;59715.86844;128315.6869;148295.3172;203676.2581;74406.40358;121063.855;69466.48282;118126.4802;76776.12869;119759.147;101510.1949;120324.821;0;18927.91691;-0.00132;-0.00023;60;35;81841.61614;110017.7016;95675.07402;116906.5953;180663.4368;28736.10438;131537.243;87581.89241;107625.5868;82486.42243;57620.12467;31745.07031;9122.989311;18415.86392
853809.2002;7145841.339;5;4-BRSA-709-SPS;33;5041.45166;6056.23047;19122.342;2590.766569;99569.4138;23480.02989;54485.64557;46141.8805;34419.51207;64385.27758;113117.6862;86722.7319;69285.68605;131555.0209;156175.3226;99569.4138;98043.44174;38057.06894;121240.3897;54485.64557;46141.8805;72340.98495;54884.58085;48341.68527;65169.20721;93693.86243;140730.8731;113669.1637;93517.49674;92764.38511;74507.3251;71067.12912;137115.4338;131555.0209;0;30839.63425;-0.00483;0.00074;47.5;26;77014.42361;105566.1635;116661.628;94240.23647;67275.75725;83277.53028;20293.88238;16869.51243;100833.8908;191007.2628;58714.52839;37100.42654;23480.02989;38057.06894
908547.8665;7212907.677;3;4-BRSA-711-RJS;34;4869.76709;5956.38965;18259.377;605.6894821;67058.65303;62440.38206;28607.53015;111288.8897;36832.75485;118761.4889;90220.33876;69005.70604;68126.03043;110764.7702;84102.06494;89520.04151;62440.38206;123709.4121;44135.41701;74459.61623;121275.3594;116120.3795;36832.75485;108721.7639;118761.4889;174826.1069;91389.55582;119155.1919;69005.70604;110792.4814;68126.03043;106449.1391;110764.7702;123814.6768;17299.04217;36480.55083;0.00097;0.00074;57.5;30;93325.52456;107692.7606;99446.40316;110172.5957;153081.0962;19502.37523;105821.4602;63238.86394;84538.80989;105781.884;65463.72922;37071.54657;28607.53015;36832.75485
826706.6598;7137443.227;79;4-BRSA-723-SPS;35;5139.64795;6376.98145;18926.598;3766.128895;126111.5633;3766.128895;81091.05002;20710.55907;61493.49491;41954.982;137139.4687;112317.8974;91682.68861;156371.3793;184173.7376;126111.5633;109966.7849;14312.8015;148453.9907;81091.05002;20710.55907;59718.25231;82347.80919;63811.07448;49066.30754;65495.39641;169000.1272;137139.4687;121469.1773;115245.0184;102103.5996;91682.68861;164033.8048;156371.3793;21849.19408;38235.38953;0.00414;-0.00011;47.5;26;86938.2456;130109.791;143254.8501;117041.7168;42205.406;110330.9321;244.3012166;38062.62975;106144.0795;211911.1939;77069.61118;48809.492;3766.128895;14312.8015
814545.3844;7144506.187;0.7;4-BRSA-946C-SPS;36;5444.4126;7095.26855;19184.232;922.6368392;138571.2803;16094.4674;93442.39152;6963.105971;73688.26137;27895.06207;150633.1197;125193.547;105543.4754;169576.2426;192401.4327;138571.2803;107045.9775;22466.97721;155516.254;93442.39152;6963.105971;47745.55879;90362.75714;77868.19844;36268.15884;58571.20927;179561.8225;150666.4093;132737.4006;128919.2457;113792.8015;105543.4754;176287.8667;169576.2426;33654.80492;25865.58145;0.00214;0.00034;47.5;26;99933.2207;143363.61;155700.3179;130665.2058;42291.79349;117481.9665;1417.92978;37816.16452;99955.47488;212050.1352;91070.46221;59552.56586;6963.105971;6963.105971
799808.8148;7181774.699;0.1;4-BRSA-971B-SPS;37;5881.91113;6906.60498;16766.391;2274.316783;158301.7925;30982.45757;116349.0917;2274.316783;92166.33875;7388.346021;174291.5582;146282.2583;132626.5848;193786.5571;196012.8731;159952.5145;82645.75125;62543.13604;156579.2612;116349.0917;37023.2043;7894.436974;98989.79105;111632.7571;7388.346021;78873.80972;191877.6198;177497.6336;149349.1953;157237.3501;132924.4961;135930.3988;195736.5161;194039.5209;38006.98222;15751.66528;0.00149;-0.0009;55;30;138514.3964;168648.8273;176526.8313;158578.8235;70783.76016;120971.4732;26587.00424;12391.99234;67840.99829;188665.8571;123092.6945;99628.57318;2274.316783;7388.346021
840041.7423;7135285.308;4;4-BRSA-973A-SPS;38;4916.09326;5880.20703;18801.072;2941.613418;112754.6568;10808.98187;67823.65629;33627.46007;48215.30043;54713.80038;123672.9339;98849.92522;78438.8584;142862.8284;173280.6875;112754.6568;109534.3221;20724.32117;138579.5343;67823.65629;33975.81515;69356.0343;72221.96589;51232.2971;59820.38674;77061.41853;156549.2606;123672.9339;108680.7388;101839.3251;89121.20019;78438.8584;150731.868;142862.8284;9561.73744;41720.99198;0.00097;0.0003;47.5;25;77090.972;116601.6181;129894.3686;103610.0735;49981.2054;100626.0936;4909.027133;33115.72803;108865.2769;206959.4981;65301.43741;40407.28823;10808.98187;20724.32117
924257.8166;7188866.807;5.5;7-LL-28D-RJS;39;4850.31299;5330.625;19041.834;664.831495;43576.41979;88974.01246;7648.074845;121507.2534;28003.79143;129133.8257;66003.20841;40289.06103;41358.29467;83312.07972;74064.69927;60881.96416;88974.01246;120533.2518;39331.63331;53035.87637;124360.8342;129154.8897;28003.79143;91488.25261;129133.8257;175716.0863;68777.64528;90763.54906;40289.06103;83944.58378;41358.29467;83076.30891;83312.07972;95137.46437;6041.295937;9703.606451;-0.00188;-0.00023;52.5;28.5;65223.42324;79318.55414;70878.39716;83074.21371;149217.0526;3329.603725;98457.13852;52625.4308;109434.5124;118897.3597;36894.35655;8528.420341;7648.074845;28003.79143
933257.3153;7198950.425;15;7-LL-34D-RJS;40;4968.1792;5393.74561;18834.229;1442.943673;38818.06289;90819.04349;1442.943673;132656.1658;40716.0972;139421.8813;61841.59207;45527.04767;51484.45246;83305.04786;62128.85089;66784.67922;90819.04349;133606.4396;25873.31259;65639.79044;136453.1237;138576.4775;40716.0972;104607.7309;139421.8813;188351.8949;63150.59775;97253.09046;45527.04767;93065.33313;51484.45246;94585.93785;83305.04786;98740.54272;15368.16415;9890.883354;-0.00132;-0.00054;55;30;65957.3488;85997.22508;74008.74955;91925.46635;162453.3132;5340.300683;111881.2871;65969.34027;112756.1032;105686.3018;39229.5673;11555.09618;1442.943673;25873.3126
946935.7578;7207959.753;24.5;9-BRSA-1254-RJS;41;5399.34326;5667.87891;18970.043;2765.77205;32267.01099;99327.09689;2765.77205;148331.1834;57091.29653;154558.2928;55458.05038;52467.08491;63072.00621;81988.18107;46592.64813;73107.14517;99327.09689;149983.3783;9958.854205;79772.29536;152593.7225;153122.0574;57091.29653;119333.1343;154558.2928;204669.6097;55667.45235;103332.0523;52467.08491;102403.1694;63072.00621;106925.3833;81988.18107;101321.3087;17320.97915;6762.568431;0.00149;-0.00042;55;30;62633.4056;92565.45974;76814.35689;100955.7573;178801.1031;17468.71364;128088.5603;81031.01503;122330.5736;90656.66985;38212.7892;12285.34146;2765.77205;9958.854205
905288.891;7178723.529;1;9-LL-30-RJS;42;5055.04639;6608.66748;19116.76;1635.804622;57236.33055;72526.31235;18607.04928;101012.534;6715.035238;109523.247;75829.62574;47593.16475;38617.27872;94376.68238;95503.98185;64505.94204;82718.56768;99107.78929;60311.81625;40349.30673;103088.9167;110583.276;6715.035238;74892.40885;109523.247;154213.2027;86361.11513;91472.80543;47593.16475;79581.71126;38617.27872;72584.47893;94376.68238;100607.9258;0;16754.43174;0.00019;0.00074;52.5;28.5;70378.1367;80229.98134;78229.48776;79357.84581;127946.8553;22729.85971;77568.23929;32877.93738;100075.2053;137073.2941;42494.96357;15517.5707;6715.035238;6715.035238
