Prof	DT
1000	NaN
1250	157
1300	157
1350	157
1400	155
1450	155
1500	153
1550	152
1600	152
1650	150
1700	146
1750	143
1800	140
1850	136
1900	133
1950	132
2000	130
2050	126
2100	124
2150	121
2200	118
2250	116
2300	118
2350	117
2400	116
2450	115
2500	113
2550	107
2600	102
2650	100
2700	98
2750	101
2800	105
2850	108
2900	110
2950	110
3000	106
3050	99
3100	94
3150	88
3200	85
3250	86
3300	89
3350	91
3400	95
3450	98
3500	100
3550	102
3600	103
3650	104
3700	105
3750	105
3800	101
3850	102
3900	101
3950	99
4000	99
4050	101
4100	100
4150	98
4200	95
4250	94
4300	90
4350	88
4400	88
4450	89
4500	88

