Prof	DT
1000	NaN
1250	172
1300	169
1350	163
1400	160
1450	158
1500	155
1550	154
1600	152
1650	149
1700	146
1750	146
1800	145
1850	147
1900	148
1950	148
2000	146
2050	145
2100	142
2150	140
2200	139
2250	139
2300	137
2350	136
2400	130
2450	123
2500	117
2550	110
2600	103
2650	100
2700	102
2750	99
2800	97
2850	95
2900	95
2950	94
3000	94
3050	95
3100	97
3150	97
3200	99
3250	98
3300	98
3350	99
3400	101
3450	103
3500	106
3550	106
3600	106
3650	105
3700	104
3750	103
3800	104
3850	104
3900	104
3950	106
4000	107
4050	107
4100	108
4150	108
4200	108
4250	107
4300	107
4350	107
4400	107
4450	106
4500	107
