Prof	DT
1000	NaN
1250	151
1300	152
1350	152
1400	151
1450	149
1500	148
1550	145
1600	144
1650	141
1700	140
1750	138
1800	135
1850	132
1900	129
1950	127
2000	123
2050	121
2100	117
2150	116
2200	113
2250	111
2300	107
2350	108
2400	103
2450	99
2500	98
2550	100
2600	97
2650	95
2700	94
2750	94
2800	94
2850	95
2900	94
2950	92
3000	91
3050	92
3100	87
3150	83
3200	79
3250	76
3300	75
3350	75
3400	75
3450	76
3500	77
3550	79
3600	80
3650	83
3700	84
3750	83
3800	84
3850	84
3900	83
3950	80
4000	79
4050	78
4100	77
4150	76
4200	78
4250	80
4300	83
4350	86
4400	87
4450	89
4500	90
