Prof,DT
1000,NaN
1250,159
1300,159
1350,159
1400,157
1450,157
1500,155
1550,154
1600,154
1650,152
1700,148
1750,144
1800,141
1850,137
1900,134
1950,133
2000,130
2050,125
2100,122
2150,119
2200,115
2250,112
2300,113
2350,112
2400,111
2450,111
2500,109
2550,108
2600,105
2650,103
2700,100
2750,98
2800,94
2850,91
2900,90
2950,91
3000,91
3050,90
3100,92
3150,91
3200,90
3250,89
3300,90
3350,91
3400,90
3450,89
3500,88
3550,89
3600,90
3650,89
3700,88
3750,87
3800,88
3850,90
3900,90
3950,89
4000,87
4050,86
4100,89
4150,89
4200,88
4250,86
4300,85
4350,88
4400,88
4450,87
4500,86
